,Date,priceUSD,transactions,size,sentbyaddress,difficulty,hashrate,mining_profitability,sentinusdUSD,transactionfeesUSD,median_transaction_feeUSD,confirmationtime,transactionvalueUSD,mediantransactionvalueUSD,activeaddresses,top100cap,fee_to_rewardUSD,extras/pool_name
3894,3/16/21,55340,319344,881428,569487,2.14E+13,1.60E+20,0.361,31435863105,19.128,9.269,9.664,253280,981.368,1033367,14.277,10.6,ViaBTC
3943,5/4/21,55308,300643,886171,563505,2.06E+13,1.88E+20,0.362,34437152560,18.286,8.296,7.956,419513,1020,1076403,14.88,8.081,AntPool
3939,4/30/21,55260,289244,868778,536472,2.36E+13,1.61E+20,0.361,30112861243,27.357,12.643,9.931,437538,1087,975112,14.817,13.651,Foundry USA
3905,3/27/21,55175,288100,899006,492042,2.19E+13,1.67E+20,0.35,20326318231,12.761,5.406,9.057,236188,775.381,1001179,14.286,6.287,MARA Pool
3902,3/24/21,55143,304941,880506,552105,2.19E+13,1.72E+20,0.331,33574543475,14.91,7.533,9.474,296800,980.627,990377,14.364,7.99,unknown
4102,10/10/21,55138,211347,518114,405953,1.99E+13,1.55E+20,0.359,25148017848,3.322,1.001,9.057,731880,642.022,706038,14.743,1.266,unknown
3937,4/28/21,54785,276984,884986,519237,2.36E+13,1.68E+20,0.334,46167808612,26.888,13.148,10.141,396534,958.806,1018397,14.744,13.288,Foundry USA
4101,10/9/21,54742,246039,707791,474569,1.99E+13,1.34E+20,0.389,25740876807,3.268,1.063,9.6,710929,604.429,853737,14.743,1.543,AntPool
3872,2/22/21,54729,285250,876642,502736,2.17E+13,1.51E+20,0.35,33115033455,25.285,13.601,10.827,381885,1411,936716,13.943,13.69,F2Pool
3901,3/23/21,54699,314073,872661,562786,2.19E+13,1.72E+20,0.345,37921490830,14.165,6.616,8.944,316802,922.318,1083569,14.338,7.482,AntPool
4150,11/27/21,54662,240616,502435,450940,2.27E+13,1.63E+20,0.303,32568865779,1.918,0.568,10.07,658998,600.906,673657,14.593,0.937,F2Pool
3936,4/27/21,54583,297967,883378,541232,2.36E+13,1.53E+20,0.375,66849336208,29.732,14.219,10.141,419084,971.659,969613,14.719,15.467,Foundry USA
4151,11/28/21,54581,213629,508781,409089,2.25E+13,1.49E+20,0.321,21426456561,1.881,0.453,10.36,821283,641.57,708189,14.575,0.841,MARA Pool
4100,10/8/21,54422,279908,844820,540264,1.99E+13,1.31E+20,0.32,48716310647,4.018,1.475,12,778394,791.978,872102,14.748,2.683,F2Pool
4099,10/7/21,54374,325734,854943,605841,1.99E+13,1.26E+20,0.393,56964946871,4.498,1.548,10.213,752801,830.958,997109,14.687,2.968,extras/pool_name
3887,3/9/21,53969,299542,875432,536341,2.14E+13,1.59E+20,0.332,29962413984,18.943,8.885,10.286,351313,1135,908177,14.097,10.731,Foundry USA
3938,4/29/21,53891,259343,876992,511804,2.36E+13,1.48E+20,0.331,36995112855,30.096,14.305,11.803,439029,1160,856639,14.781,15.969,ViaBTC
3931,4/22/21,53812,274467,887672,506784,2.36E+13,1.43E+20,0.449,61007747833,58.718,24.369,10.07,429103,1253,981596,14.533,25.108,Foundry USA
3904,3/26/21,53208,293474,872522,556632,2.19E+13,1.53E+20,0.325,31902997837,14.729,7.413,10.588,263813,1028,891746,14.282,8.728,Foundry USA
3869,2/19/21,53058,341433,888791,594241,2.15E+13,1.51E+20,0.391,35518331149,24.989,12.95,9.412,367522,1181,1049796,13.827,14.401,MARA Pool
3935,4/26/21,53000,240573,893442,477435,2.36E+13,1.58E+20,0.295,50940323283,36.957,17.267,12.632,474291,1230,791356,14.685,19.065,F2Pool
4098,10/6/21,52731,267618,696073,509538,1.99E+13,1.54E+20,0.286,69913145473,3.55,1.078,10.992,971558,929.341,764948,14.734,2.154,AntPool
3903,3/25/21,52127,318408,892913,601208,2.19E+13,1.65E+20,0.332,42386358281,13.789,6.178,9.351,280559,919.162,1083562,14.329,8.05,AntPool
3868,2/18/21,51901,316815,886938,543082,2.14E+13,1.57E+20,0.332,29726617496,24.205,12.606,10.511,360742,1148,951004,13.777,14.722,AntPool
4068,9/6/21,51762,268705,612422,459079,1.76E+13,1.46E+20,0.387,25801513390,3.314,0.727,8.372,685982,793.529,826340,15.164,1.576,AntPool
4180,12/27/21,51062,249400,739046,481096,2.43E+13,1.69E+20,0.284,38330614710,2.694,0.726,9.73,641079,739.951,805432,14.963,1.403,Foundry USA
4177,12/24/21,51034,260414,775587,495489,2.42E+13,1.81E+20,0.27,29775719784,2.365,0.566,9.536,560185,681.682,846088,14.752,1.263,Foundry USA
4160,12/7/21,50984,288189,699900,534233,2.23E+13,1.81E+20,0.275,52721786628,2.014,0.444,9.351,924654,758.58,896511,14.512,1.17,ViaBTC
3867,2/17/21,50897,317528,901205,546245,2.14E+13,1.41E+20,0.363,29619088434,22.701,12.024,10.435,332898,1217,314475,13.736,14.109,ViaBTC
4178,12/25/21,50830,207656,758216,420645,2.42E+13,1.84E+20,0.257,31884381059,2.037,0.436,9.796,589944,576.329,762142,14.959,0.898,ViaBTC
3886,3/8/21,50778,291800,852833,505381,2.14E+13,1.65E+20,0.325,27037379011,15.757,7.344,9.29,340933,925.55,991359,14.08,8.552,Foundry USA
3881,3/3/21,50406,333250,898009,594177,2.17E+13,1.66E+20,0.328,26822591540,20.071,10.261,9.474,283547,984.487,1074771,14.054,12.261,Foundry USA
4067,9/5/21,50328,204902,469897,371194,1.76E+13,1.41E+20,0.37,20520727741,2.574,0.679,8.78,533486,637.117,606299,15.173,1.013,ViaBTC
4161,12/8/21,50293,265942,549495,483307,2.23E+13,1.91E+20,0.279,39050953883,1.957,0.455,8.571,818741,754.027,786822,14.577,0.976,unknown
3885,3/7/21,50194,260593,875061,442729,2.14E+13,1.52E+20,0.324,16737731974,13.72,6.312,9.863,410320,846.965,880049,14.11,7.245,AntPool
3953,5/14/21,50185,265921,883117,539733,2.50E+13,1.77E+20,0.258,56772901814,13.823,5.784,10.746,432360,1073,883598,15.238,8.046,Foundry USA
4179,12/26/21,50143,198440,589151,414081,2.43E+13,1.70E+20,0.249,16909554635,1.959,0.449,10.746,622169,580.798,631891,14.958,0.918,Foundry USA
3933,4/24/21,50077,290545,880543,451278,2.36E+13,1.63E+20,0.331,31002971914,29.025,12.562,9.931,275845,654.858,911731,14.611,15.677,AntPool
4066,9/4/21,50052,227577,522816,427167,1.76E+13,1.35E+20,0.363,29366649872,2.638,0.731,9.29,612182,619.74,703429,15.173,1.224,ViaBTC
4069,9/7/21,49996,276471,669053,495844,1.76E+13,1.44E+20,0.337,31197370917,3.338,0.66,9.412,690193,931.57,788891,15.146,1.895,MARA Pool
3875,2/25/21,49992,325960,880952,558794,2.17E+13,1.75E+20,0.323,45680184010,23.393,11.976,9.231,354656,1008,1029740,13.987,13.533,F2Pool
4097,10/5/21,49987,312374,724372,564604,1.99E+13,1.63E+20,0.318,46661223262,2.447,0.544,8.78,784081,743.998,873880,14.772,1.471,ViaBTC
3932,4/23/21,49891,295596,893218,524077,2.36E+13,1.64E+20,0.339,59597772214,45.518,20.597,10.667,368625,1123,931624,14.601,24.229,Foundry USA
4065,9/3/21,49885,283843,747107,509448,1.76E+13,1.30E+20,0.363,45522396608,3.24,0.963,9.73,530485,818.687,866641,15.169,1.955,ViaBTC
4054,8/23/21,49864,270539,542784,466625,1.56E+13,1.34E+20,0.464,53191547551,2.642,0.463,7.31,584248,836.929,853732,14.985,1.152,ViaBTC
3952,5/13/21,49849,276311,877885,571087,2.32E+13,1.98E+20,0.272,68020393129,12.966,5.027,8.944,451295,1243,1036314,15.19,6.67,BTC.com
3874,2/24/21,49790,357933,886572,583808,2.17E+13,1.59E+20,0.371,33197678290,26.364,12.995,9.057,294958,1006,1035468,13.986,16.023,F2Pool
3934,4/25/21,49657,240900,884132,385161,2.36E+13,1.71E+20,0.289,28949335984,23.971,9.017,10.213,337302,649.973,849115,14.694,11.663,F2Pool
4064,9/2/21,49644,289751,744633,532036,1.76E+13,1.27E+20,0.371,68472593809,3.422,0.98,9.664,718338,813.721,878226,15.119,2.101,Foundry USA
4165,12/12/21,49536,214668,472455,405296,2.42E+13,1.77E+20,0.247,11482872519,1.509,0.287,10.286,520178,560.473,629088,14.7,0.742,ViaBTC
3882,3/4/21,49417,289503,892023,533768,2.17E+13,1.49E+20,0.304,24341165061,19.282,9.759,11.25,259089,994.804,922105,14.066,12.377,Foundry USA
4162,12/9/21,49089,282612,814262,498081,2.23E+13,1.77E+20,0.287,33029726377,2.091,0.474,8.834,543361,762.511,976924,14.769,1.169,Foundry USA
4158,12/5/21,49085,215047,582849,418884,2.23E+13,1.76E+20,0.295,45476087775,4.986,1.438,8.675,665205,639.247,859137,14.548,2.064,F2Pool
4157,12/4/21,49075,253519,577291,513404,2.23E+13,1.82E+20,0.266,81409741728,3.379,0.748,9.29,846227,808.851,803225,14.646,1.771,Foundry USA
4176,12/23/21,49064,291647,601433,548787,2.42E+13,1.84E+20,0.256,26381145067,1.847,0.473,9.474,540632,656.155,830422,14.683,1.143,Foundry USA
4052,8/21/21,49017,219237,532999,393660,1.56E+13,1.26E+20,0.417,23747076314,2.553,0.465,8.471,541917,717.271,708347,15.038,1.064,BTC.com
3873,2/23/21,48981,287757,888244,534135,2.17E+13,1.34E+20,0.357,40592103789,31.477,15.387,11.339,375111,1626,893364,13.97,18.902,unknown
4175,12/22/21,48978,288347,643247,521764,2.42E+13,1.83E+20,0.251,27561189502,1.843,0.496,9.73,541074,695.136,861945,14.65,1.16,F2Pool
4055,8/24/21,48904,263830,656441,463180,1.56E+13,1.43E+20,0.335,52668878665,2.781,0.602,9.351,1510898,760.232,801471,15.039,1.536,unknown
4181,12/28/21,48887,265288,841232,529337,2.43E+13,1.73E+20,0.242,37426337805,3.291,1.041,10.746,603487,679.325,892005,14.997,2.089,Foundry USA
4059,8/28/21,48876,218127,559167,399010,1.76E+13,1.28E+20,0.341,88194000258,2.398,0.372,10.213,783619,628.06,662076,15.091,1.201,F2Pool
3954,5/15/21,48875,231976,882398,445070,2.50E+13,1.67E+20,0.243,44905588095,13.159,5.335,11.707,404818,973.53,824216,15.275,7.518,ViaBTC
4053,8/22/21,48868,190467,499923,336240,1.56E+13,1.29E+20,0.394,11541042360,2.983,0.684,8.78,463883,635.285,613683,15.05,1.122,Foundry USA
3866,2/16/21,48845,296267,899261,498335,2.14E+13,1.37E+20,0.312,24884132144,19.788,10.656,11.901,414566,1122,548331,13.714,13.702,ViaBTC
